ID,Gloss,Dempwolff_Etymology,Contribution_ID,Comment
30320,,,Loan,"Also __language__Molbog__ _ny-ahiʔ_, __language__Lotud __ _j-okiʔ_ ‘1sg oblique’.  The reconstruction of this variant, and &ast;_q_-final forms of the first person plural inclusive and exclusive oblique pronouns, is based on material provided by Jason Lobel.  The reconstruction of all forms of the oblique personal pronouns has benefited from unpublished data provided by Lobel, although they are independently reconstructible without this material."
30649,,,Loan,From Spanish _abuso_ ‘abuse’.
30184,,"*tarima ‘receive, accept’",Loan,"Borrowing from __language__Malay__, perhaps ultimately from __language__Old Javanese__. [Dempwolff (1938)](bib-Dempwolff) reconstructed ‘Uraustronesisch’ &ast;_tarima_ ‘receive, accept’."
29870,,,Loan,"Borrowing, ultimately from _Arabic_, but with the Bornean and Philippine forms acquired indirectly through the medium of __language__Malay__."
29511,,,Loan,"Borrowing, ultimately from __language__Sanskrit__."
30565,,,Loan,Borrowing of Spanish _el as_ ‘ace’.
29512,,,Loan,Borrowing of __language__Spanish__ _ácido_.
30090,,,Loan,"Presumably a loan from southern Chinese, although a plausible source word is yet to be identified. Thanks to Yen-ling Chen for tracing the history of this form, and drawing my attention to the suggestion that the name may derive from a reduplicated form of __language__Malay__ _kain_ ‘cloth’: _kain-kain_ > _kankan_ > _kaŋkan_ > _kaŋgan_."
29786,,,Loan,Borrowing from __language__Malay__.
30624,,,Loan,Probably a __language__Tagalog__ loan distribution.
30691,,,Loan,Apparently a __language__Tagalog__ loan distribution from a form that must originally have had an intervocalic voiced alveolar stop.
30754,,,Loan,Probably a __language__Tagalog__ loan distribution.
30225,,,Loan,
29513,,,Loan,"Borrowing, ultimately from __language__Arabic__."
29514,,,Loan,"Borrowing, ultimately from __language__Arabic__."
29515,,,Loan,Probably a __language__GCPH__  loan in __language__Casiguran Dumagat__ and __language__Kapampangan__.
29716,,*inak 'agreeable',Loan,"[Dempwolff (1934-38)](bib-Dempwolff) reconstructed &ast;_inak_ 'agreeable', but the comparison in question is best explained as a relatively recent innovation or a loan distribution in western Indonesia."
30041,,,Loan,"Borrowing, ultimately from Sanskrit."
29607,,,Loan,Borrowing from __language__Tagalog__.
29516,,*arak,Loan,"Borrowing, ultimately from __language__Arabic__. Dempwolff treated this form as native, but [Jones (1978)](bib-Jones) regards it as a borrowing of __language__Arabic__ _ʔaraq_ 'strong drink'. This interpretation is supported by the initial consonant of __language__Wolio__ _ʔara_ 'arrack, brandy (made from sago juice, or the nectar of nipah-palm blossom)', and by numerous irregularities in the sound correspondences, although the appearance of forms of the word in __language__Old Javanese__ and __language__Malagasy__ is in need of further study. Such __language__Philippine__ languages as __language__Casiguran Dumagat__, __language__Kapampangan__, __language__Hanunóo__, and __language__Aklanon__ appear to have acquired the word through __language__TAGA__, but __language__Ilokano__ and __language__Bikol__ evidently acquired it directly from speakers of __language__Malay__. Throughout much of eastern Indonesia the word appears to have been borrowed through the mediation of __language__Malay__, and the same may be true of __language__Chamorro__ _arak_, although __language__Ilokano__ _árak_ is another plausible source."
30568,,,Loan,"Presumably a Spanish loan, although the source is yet to be determined."
30601,,,Loan,"Borrowing of Spanish _golpe_ ‘blow, stroke, hit; clash, shock; crowd, throng; accident; surprise’, _de golpe_ ‘suddenly’."
30162,,,Loan,"Borrowing from Sanskrit.  For a detailed account of the complex history of this word, which generally refers to copper in island Southeast Asia, but to a copper-gold alloy in the archaeological cultures of the Andes cf. [Blust (1992a)](bib-Blust)."
30436,,,Loan,Borrowing of Spanish _limosna_ ‘alms’.
30579,,,Loan,Apparently a borrowing of Spanish _darle_/_dale_ ‘go ahead!’.
30530,,,Loan,"Philippine forms are from Spanish _mas que_ ‘although, even so’, and the __language__Malay__ form is evidently from the similar expression in Portuguese.  Surprisingly, the same expression is also found in Tok Pisin _maski_ ‘although’.  Why this particular collocation was so readily borrowed remains unclear."
30168,,*tawas 'alum',Loan,Probably a __language__Malay__ loan distribution.  [Dempwolff (1938)](bib-Dempwolff) proposed __language__PAn__ &ast;_tawas_ 'alum'.
29517,,,Loan,"Borrowing, ultimately from __language__Arabic__."
