ID,Description,Source,Form,Comment,Proto_Language,Contribution_ID
24946,imperative suffix,,*-a₁,"Also [Kanakanabu](LanguageTable#cldf:680) _-au_ ‘imperative suffix’, [Niue](LanguageTable#cldf:362) _ā_ ‘sign of emphatic imperative’.  Agreements in [Saaroa](LanguageTable#cldf:974), [Bikol](LanguageTable#cldf:244), [Aklanon](LanguageTable#cldf:226), and [Mansaka](LanguageTable#cldf:825) suggest that this imperative suffix corresponded to the object focus of non-imperative forms.  There is a fairly high probability that it ultimately derives from the same source as &ast;_-a_ ‘subjunctive’ and &ast;_-a_ ‘3sg. object marker’.",PAN,Canonical
24948,subjunctive suffix,wolff1973[90],*-a₃,"Possibly the same affix as &ast;_-a_ ‘imperative’, and &ast;_-a_ ‘3sg. object’. For arguments supporting the distinction of &ast;_-a_ ‘imperative’ and &ast;_-a_ ‘subjunctive’ cf. [Wolff (1973:90)](Source#cldf:wolff1973).",PAN,Canonical
24941,article,pawley1972[58];walshandbiggs1966[];clark1976[],*a₁,"The history of this morpheme is problematic.  In the Solomons and in Central Pacific languages reflexes of &ast;_a_ function as a personal article, in contrast to the common noun article &ast;_na_.  [Pawley (1972:58)](Source#cldf:pawley1972) reconstructs ""PEOc"" &ast;_na_/_a_ ‘common article’, and &ast;_(q)a_ ‘personal article’, thus positing a rather dubious distinction between contrasting articles &ast;_a_ and &ast;_(q)a_.  Similarly, [Walsh and Biggs (1966)](Source#cldf:walshandbiggs1966) posit PPn &ast;_ʔa_ ‘personal article’, but reconstruct &ast;_ʔ-_ purely on the basis of [Tongan](LanguageTable#cldf:434) _ʔa-_. Since [Tongan](LanguageTable#cldf:434) is known to have added initial glottal stop in the reflexes of some other grammatical morphemes ([Clark 1976](Source#cldf:clark1976)) the evidence for distinguishing &ast;_a_ ‘common article’ and &ast;_qa_ ‘personal article’ appears to be dangerously thin.  This morpheme may be a sporadic shortening of &ast;_na_ which happened independently in a number of [Oceanic](LanguageTable#cldf:OC) languages.  If so, however, it is puzzling that it often replaced &ast;_i_ as a personal article rather than continuing to function as a common noun article.",PMP,Canonical
24942,conjunction: and,,*a₂,"Also [Maori](LanguageTable#cldf:330) _ā_ ‘and, and then (only connecting successive actions or events)’.",PMP,Canonical
24947,3sg. object,blust1977[];dyen1974[];dahl1976[122],*-a₂,"Also [Enggano](LanguageTable#cldf:596) _-dia_, [Mentawai](LanguageTable#cldf:335) _inia_ ‘3sg. possessor’.  As noted in [Blust (1977)](Source#cldf:blust1977), earlier reconstructions of the 3sg. genitive pronoun such as &ast;_-ña?_ ([Dyen 1974](Source#cldf:dyen1974)) and &ast;_-na_ ([Dahl 1976:122](Source#cldf:dahl1976)) erred in interpreting &ast;_ni-á_ as monomorphemic.  As a result many irregular reflexes ([Atayal](LanguageTable#cldf:493), [Tagalog](LanguageTable#cldf:423), [Javanese](LanguageTable#cldf:285), [Gorontalo](LanguageTable#cldf:272), etc.) remained unexplained.  I assume ultimate stress, since the genitive marker &ast;_ni_ is the non-contrastive element in genitive constructions.  Given an etymon of such a shape and obviously high list and text frequency, it is not difficult to see how the initial consonant and following vowel sporadically contracted to a palatal nasal which then underwent a regular merger with &ast;_n_ in many daughter languages.",PMP,Canonical
24943,"exclamation, interjection",,*a₃,"Also [Nias](LanguageTable#cldf:361) _aha_ ‘interjection: aha!’, [Old Javanese](LanguageTable#cldf:660) _ah_ ‘exclamation: ah!, oh!, ha!’, [Old Javanese](LanguageTable#cldf:660) _aha_ ‘exclamatory particle: ah!, oh!, alas!’, [Palauan](LanguageTable#cldf:372) _chach_ ‘oh! (exclamation of surprise)’, [Komodo](LanguageTable#cldf:708) _aʔ_ ‘interjection: ah!’, [Sika](LanguageTable#cldf:414) _ʔa_ ‘exclamation of surprise’, [Rotinese](LanguageTable#cldf:395) _aʔa_ ‘exclamation’.  The obviously iconic and universal character of this form should not discourage us from a reconstruction, since proto-languages were no less likely than attested languages to contain such words.",PMP,Canonical
24944,hesitation particle,,*a₄,,PAN,Canonical
24945,ligature,,*a₅,,PAN,Canonical
24770,"exclamation: ah!, oh!, alas!",,*abá,"Also [Cebuano](LanguageTable#cldf:252) _abaʔa_ ‘particle indicating disapproval (literary)’, [Subanen/Subanun](LanguageTable#cldf:421) _abaa_ ‘interjection of grief or wonder’.",PWMP,Canonical
24757,father,anceaux1987[];wilkinson1959[];blust1970[],*aba₁,"Also [Maranao](LanguageTable#cldf:331) _abo_ ‘father’, [Moken](LanguageTable#cldf:341) _apoŋ_ ‘father’, [Bare'e](LanguageTable#cldf:236) _ambo_ ‘stepfather’, [Mandar](LanguageTable#cldf:813) _abi_ ‘father’, [Buginese](LanguageTable#cldf:239) _amboʔ_ ‘father’, [Wolio](LanguageTable#cldf:1124) _awo_ ‘stepfather, stepmother, etc.’, [Yamdena](LanguageTable#cldf:1130) _abe_ ‘mother-in-law’.  Apparently a nursery word which has resisted normal sound change in a number of languages (e.g. [Tiruray](LanguageTable#cldf:433), [Malay](LanguageTable#cldf:326), and [Bimanese](LanguageTable#cldf:241), where we would expect _-w-_; [Malagasy](LanguageTable#cldf:18432), where we would expect _-v-_).  


Although the [Wolio](LanguageTable#cldf:1124) form is cited in [Anceaux 1987](Source#cldf:anceaux1987) as an Arabic loan, [Wilkinson 1959](Source#cldf:wilkinson1959) lists [Malay](LanguageTable#cldf:326) _aba_ ‘father (Arabic)’, but [Malay](LanguageTable#cldf:326) _abah_ ‘father; papa’, without indication of borrowing.  Together with [Atayal](LanguageTable#cldf:493) _aba_ these facts suggest that this cognate set is more likely to be a native form than a loan. 



Finally, although [Malay](LanguageTable#cldf:326) _abaŋ_ ‘elder brother’ could be analyzed as _aba-ŋ_ (with fossilized vocative suffix), and hence compared with the other forms cited here, I prefer to treat it as distinct and to withdraw the etymon &ast;_ab(ae)ŋ_ ‘elder brother’ proposed in [Blust (1970)](Source#cldf:blust1970).",PAN,Canonical
